timestamp,latitude,longitude,type,recording,trip_id,session_id
1769844969401,35.6912978,139.6718905,raw,true,T20260131_163416,S20260131_163608
1769844970401,35.6912976,139.6718894,raw,true,T20260131_163416,S20260131_163608
1769844971401,35.691297,139.6718897,raw,true,T20260131_163416,S20260131_163608
1769844972401,35.6912968,139.6718886,raw,true,T20260131_163416,S20260131_163608
1769844973401,35.6912964,139.6718881,raw,true,T20260131_163416,S20260131_163608
1769844974401,35.6912965,139.6718876,raw,true,T20260131_163416,S20260131_163608
1769844975401,35.6912969,139.6718871,raw,true,T20260131_163416,S20260131_163608
1769844976401,35.6912966,139.6718867,raw,true,T20260131_163416,S20260131_163608
1769844977401,35.6912954,139.6718871,raw,true,T20260131_163416,S20260131_163608
1769844978401,35.6912945,139.6718875,raw,true,T20260131_163416,S20260131_163608
1769844979401,35.6912938,139.6718877,raw,true,T20260131_163416,S20260131_163608
1769844980401,35.6912935,139.6718878,raw,true,T20260131_163416,S20260131_163608
1769844981401,35.6912933,139.6718878,raw,true,T20260131_163416,S20260131_163608
1769844982401,35.6912932,139.6718879,raw,true,T20260131_163416,S20260131_163608
1769844983401,35.6912932,139.6718887,raw,true,T20260131_163416,S20260131_163608
1769844984401,35.6912931,139.6718891,raw,true,T20260131_163416,S20260131_163608
1769844985401,35.6912931,139.6718893,raw,true,T20260131_163416,S20260131_163608
1769844986401,35.6912931,139.6718894,raw,true,T20260131_163416,S20260131_163608
1769844987401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844988401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844989401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844990401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844991401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844992401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844993401,35.6912931,139.6718895,raw,true,T20260131_163416,S20260131_163608
1769844994401,35.6912931,139.6718892,raw,true,T20260131_163416,S20260131_163608
1769844995401,35.6912932,139.6718891,raw,true,T20260131_163416,S20260131_163608
1769844996401,35.6912932,139.6718891,raw,true,T20260131_163416,S20260131_163608
1769844997401,35.6912932,139.671889,raw,true,T20260131_163416,S20260131_163608
1769844998401,35.6912932,139.671889,raw,true,T20260131_163416,S20260131_163608
1769844999401,35.6912932,139.671889,raw,true,T20260131_163416,S20260131_163608
1769845000401,35.6912934,139.6718891,raw,true,T20260131_163416,S20260131_163608
1769845001401,35.6912935,139.6718891,raw,true,T20260131_163416,S20260131_163608
1769845002401,35.6912935,139.6718891,raw,true,T20260131_163416,S20260131_163608
1769845003401,35.6912935,139.6718892,raw,true,T20260131_163416,S20260131_163608
1769845004401,35.6912936,139.6718907,raw,true,T20260131_163416,S20260131_163608
1769845005401,35.6912928,139.6718916,raw,true,T20260131_163416,S20260131_163608
1769845006401,35.6912923,139.6718923,raw,true,T20260131_163416,S20260131_163608
1769845007401,35.6912929,139.6718944,raw,true,T20260131_163416,S20260131_163608
1769845008401,35.6912934,139.6718964,raw,true,T20260131_163416,S20260131_163608
1769845009401,35.6912934,139.6718969,raw,true,T20260131_163416,S20260131_163608
1769845010401,35.6912928,139.6718979,raw,true,T20260131_163416,S20260131_163608
1769845011401,35.6912924,139.6718988,raw,true,T20260131_163416,S20260131_163608
1769845012401,35.6912923,139.6719001,raw,true,T20260131_163416,S20260131_163608
1769845013401,35.6912919,139.6719015,raw,true,T20260131_163416,S20260131_163608
1769845014401,35.6912888,139.6719026,raw,true,T20260131_163416,S20260131_163608
1769845015401,35.6912828,139.671905,raw,true,T20260131_163416,S20260131_163608
1769845016401,35.6912758,139.6719086,raw,true,T20260131_163416,S20260131_163608
1769845017401,35.6912688,139.6719132,raw,true,T20260131_163416,S20260131_163608
1769845018401,35.691259,139.6719252,raw,true,T20260131_163416,S20260131_163608
1769845019401,35.6912502,139.671946,raw,true,T20260131_163416,S20260131_163608
1769845020401,35.6912481,139.6719773,raw,true,T20260131_163416,S20260131_163608
1769845021401,35.6912535,139.672018,raw,true,T20260131_163416,S20260131_163608
1769845022401,35.691281,139.6721157,raw,true,T20260131_163416,S20260131_163608
1769845023401,35.6912922,139.6721808,raw,true,T20260131_163416,S20260131_163608
1769845024401,35.691303,139.6722395,raw,true,T20260131_163416,S20260131_163608
1769845025401,35.6913124,139.6723172,raw,true,T20260131_163416,S20260131_163608
1769845026401,35.6913149,139.6723829,raw,true,T20260131_163416,S20260131_163608
1769845027401,35.691325,139.6724525,raw,true,T20260131_163416,S20260131_163608
1769845028401,35.6913352,139.6725187,raw,true,T20260131_163416,S20260131_163608
1769845029401,35.6913462,139.6725861,raw,true,T20260131_163416,S20260131_163608
1769845030401,35.6913545,139.6726482,raw,true,T20260131_163416,S20260131_163608
1769845031401,35.6913617,139.6727069,raw,true,T20260131_163416,S20260131_163608
1769845032401,35.6913676,139.6727542,raw,true,T20260131_163416,S20260131_163608
1769845033401,35.6913725,139.6727924,raw,true,T20260131_163416,S20260131_163608
1769845034401,35.6913758,139.6728205,raw,true,T20260131_163416,S20260131_163608
1769845035401,35.6913796,139.6728398,raw,true,T20260131_163416,S20260131_163608
1769845036401,35.6913826,139.6728551,raw,true,T20260131_163416,S20260131_163608
1769845037401,35.6913862,139.6728793,raw,true,T20260131_163416,S20260131_163608
1769845038401,35.6913927,139.6729205,raw,true,T20260131_163416,S20260131_163608
1769845039401,35.6914001,139.6729729,raw,true,T20260131_163416,S20260131_163608
1769845040401,35.6914065,139.6730332,raw,true,T20260131_163416,S20260131_163608
1769845041401,35.6914124,139.6731131,raw,true,T20260131_163416,S20260131_163608
1769845042401,35.6914178,139.6731942,raw,true,T20260131_163416,S20260131_163608
1769845043401,35.6914229,139.6732838,raw,true,T20260131_163416,S20260131_163608
1769845044401,35.691429,139.6733785,raw,true,T20260131_163416,S20260131_163608
1769845045401,35.6914373,139.6734685,raw,true,T20260131_163416,S20260131_163608
1769845046401,35.6914439,139.673555,raw,true,T20260131_163416,S20260131_163608
1769845047401,35.6914521,139.6736505,raw,true,T20260131_163416,S20260131_163608
1769845048401,35.6914596,139.6737462,raw,true,T20260131_163416,S20260131_163608
1769845049401,35.6914628,139.673845,raw,true,T20260131_163416,S20260131_163608
1769845050401,35.6914697,139.6739468,raw,true,T20260131_163416,S20260131_163608
1769845051401,35.691475,139.674052,raw,true,T20260131_163416,S20260131_163608
1769845052401,35.6914817,139.6741595,raw,true,T20260131_163416,S20260131_163608
1769845053401,35.6914884,139.6742668,raw,true,T20260131_163416,S20260131_163608
1769845054401,35.6914924,139.6743724,raw,true,T20260131_163416,S20260131_163608
1769845055401,35.6914876,139.6744827,raw,true,T20260131_163416,S20260131_163608
1769845056401,35.69149,139.6746026,raw,true,T20260131_163416,S20260131_163608
1769845057401,35.6914934,139.6747208,raw,true,T20260131_163416,S20260131_163608
1769845058401,35.6914993,139.6748382,raw,true,T20260131_163416,S20260131_163608
1769845059401,35.6914936,139.6749516,raw,true,T20260131_163416,S20260131_163608
1769845060401,35.6914968,139.6750658,raw,true,T20260131_163416,S20260131_163608
1769845061401,35.6915016,139.6751796,raw,true,T20260131_163416,S20260131_163608
1769845062401,35.6915088,139.6752901,raw,true,T20260131_163416,S20260131_163608
1769845063401,35.6915127,139.6753952,raw,true,T20260131_163416,S20260131_163608
1769845064401,35.6915166,139.6754952,raw,true,T20260131_163416,S20260131_163608
1769845065401,35.6915228,139.6755948,raw,true,T20260131_163416,S20260131_163608
1769845066401,35.6915261,139.6756941,raw,true,T20260131_163416,S20260131_163608
1769845067401,35.691531,139.6757887,raw,true,T20260131_163416,S20260131_163608
1769845068401,35.691531,139.6758854,raw,true,T20260131_163416,S20260131_163608
1769845069401,35.6915329,139.6759805,raw,true,T20260131_163416,S20260131_163608
1769845070401,35.6915439,139.6760774,raw,true,T20260131_163416,S20260131_163608
1769845071401,35.691541,139.6761701,raw,true,T20260131_163416,S20260131_163608
1769845072401,35.6915436,139.6762682,raw,true,T20260131_163416,S20260131_163608
1769845073401,35.6915505,139.676366,raw,true,T20260131_163416,S20260131_163608
1769845074401,35.6915527,139.6764611,raw,true,T20260131_163416,S20260131_163608
